mlb_name,Total_deltaRE,Count
Jake Rogers,5.8227949371139704,129
Cal Raleigh,5.314964218416161,134
Jonah Heim,4.422283370729466,157
Francisco Alvarez,4.291229746935041,132
William Contreras,4.151864712601704,158
Austin Hedges,3.684984408974144,95
Will Smith,3.668734236150106,131
Cam Gallagher,3.1733001934085885,46
Shea Langeliers,3.15249329949148,153
Victor Caratini,3.101588323448399,90
Gabriel Moreno,2.928545183421807,142
Alejandro Kirk,2.869123595448547,89
Connor Wong,2.7968960638951708,141
Christian Vazquez,2.655328963215611,108
Travis dArnaud,2.3640685142093947,73
Keibert Ruiz,2.2411525261979874,144
Patrick Bailey,2.161149544668214,87
Omar Narvaez,2.156504533401105,64
Seby Zavala,2.0992926571695656,59
Miguel Amaya,2.089675324662214,62
Yasmani Grandal,2.065793377088639,122
Eric Haase,2.0616885833303975,68
Andrew Knizner,1.9763172657295296,90
Mike Zunino,1.9451778497496242,57
Jose Trevino,1.9328868840779585,63
Tyler Stephenson,1.9209946012648715,117
Danny Jansen,1.9076159007457607,66
Salvador Perez,1.7538573285898946,90
Tucker Barnhart,1.5992598672581155,41
Reese McGuire,1.55920221191559,58
Carson Kelly,1.5162324877112163,46
Nick Fortes,1.510234852419895,124
Christian Bethancourt,1.4563390965696748,85
Austin Nola,1.3757256434998906,46
Sean Murphy,1.3502680056737362,118
Brett Sullivan,1.3333825051714565,32
Austin Wells,1.324262867298888,22
Freddy Fermin,1.2120707690677277,72
Austin Wynns,1.1607971730995823,47
Kyle Higashioka,1.1451365552016948,93
Jose Herrera,1.1049311026216915,58
Carlos Perez,1.101736411000775,53
Gary Sanchez,1.0952805046373726,73
Yan Gomes,1.0686969704492135,133
James McCann,1.0506208215760344,62
Yainer Diaz,1.0355444160404765,45
Mitch Garver,0.9660207219421479,27
Joey Bart,0.9491147317299334,27
Endy Rodriguez,0.84738205200662,59
Luke Maile,0.6854735168089223,66
Garrett Stubbs,0.6741632060432098,41
Adley Rutschman,0.670641805467052,109
Tyler Soderstrom,0.6342779290099683,18
Rene Pinto,0.6088220087906842,36
Willson Contreras,0.592825361571153,122
Francisco Mejia,0.5906881867164802,51
Logan Porter,0.5544096022225145,11
Tomas Nido,0.5477912130716425,23
Ivan Herrera,0.5197990423023574,16
Curt Casali,0.5087245075520532,40
J.T. Realmuto,0.48627200227645717,186
Jacob Stallings,0.4755661447192161,79
Ben Rortvedt,0.4609356565922033,31
Austin Barnes,0.4355372182531748,61
MJ Melendez,0.4235668257133291,7
Anthony Bemboom,0.4083342149505155,8
Jorge Alfaro,0.4010873178953444,9
Ryan Jeffers,0.3302260826199959,103
Roberto Perez,0.31017138004761863,12
Drew Millas,0.3070044919438485,11
Tyler Heineman,0.29639972203117115,17
Jason Delay,0.22609705321604198,66
Sandy Leon,0.17464808763717632,17
Brian OKeefe,0.13767860661254538,7
Manny Pina,0.0663318502686253,2
Meibrys Viloria,0.054958828622662104,2
Blake Sabol,0.045914162364630334,45
Tres Barrera,0.0338469298967689,2
Tyler Cropley,0.010581186869771896,2
Brian Serven,0.005606631997011904,8
Cesar Salazar,0.004753698408676402,4
Caleb Hamilton,-0.006099811710791506,3
Chadwick Tromp,-0.030447960669829383,4
Michael Perez,-0.07271382227335932,6
Matt Thaiss,-0.1411675703061764,71
Luis Torrens,-0.1479009301554618,4
Korey Lee,-0.15724910683365864,26
Elias Diaz,-0.18130730686579452,110
Bo Naylor,-0.19404990838212915,68
Sam Huff,-0.3030769655759358,6
Tom Murphy,-0.3576613660882616,37
David Fry,-0.4217735754665089,13
Luis Campusano,-0.42860304094084223,53
Chad Wallach,-0.7595403866537683,42
Riley Adams,-1.0288405139783505,56
Martin Maldonado,-1.0412927645668744,133
Logan OHoppe,-1.1510443428859438,70
